"Repeat(Date)","Algae","Treatment","Well_ID","Larvae","Time_to_first_expulsion"
"2018-05-04T00:00","SSB01","No","S1","1",2880
"2018-05-04T00:00","SSB01","No","S1","5-1",2880
"2018-05-04T00:00","SSB01","No","S1","5-2",2880
"2018-05-04T00:00","SSB01","No","S1","5-3",2880
"2018-05-04T00:00","SSB01","No","S1","5-4",2880
"2018-05-04T00:00","SSB01","No","S1","5-5",2880
"2018-05-04T00:00","SSB01","No","S1","7-1",2565
"2018-05-04T00:00","SSB01","No","S1","7-2",2565
"2018-05-04T00:00","SSB01","No","S1","8-1",2880
"2018-05-04T00:00","SSB01","No","S1","8-2",2880
"2018-05-04T00:00","SSB01","No","S1","8-3",2880
"2018-05-04T00:00","SSB01","No","S1","8-4",2880
"2018-05-04T00:00","SSB01","No","S1","8-5",2880
"2018-05-04T00:00","SSB01","No","S1","9-1",2880
"2018-05-04T00:00","SSB01","No","S1","9_2",2880
"2018-05-04T00:00","SSB01","No","S1","9_3",2880
"2018-05-04T00:00","SSB01","No","S1","9_4",2880
"2018-05-04T00:00","SSB01","No","S1","10",2880
"2018-05-11T00:00","SSB01","No","S2","1",2880
"2018-05-11T00:00","SSB01","No","S2","2",2880
"2018-05-11T00:00","SSB01","No","S2","3",2880
"2018-05-11T00:00","SSB01","No","S2","4",2880
"2018-05-11T00:00","SSB01","No","S2","5_1",2880
"2018-05-11T00:00","SSB01","No","S2","5_2",2880
"2018-05-11T00:00","SSB01","No","S2","6_1",2880
"2018-05-11T00:00","SSB01","No","S2","6_2",2880
"2018-05-11T00:00","SSB01","No","S2","7",2880
"2019-02-04T00:00","M. gaditana","No","M1","1",240
"2019-02-04T00:00","M. gaditana","No","M1","2_1",30
"2019-02-04T00:00","M. gaditana","No","M1","2_2",30
"2019-02-04T00:00","M. gaditana","No","M1","2_3",30
"2019-02-04T00:00","M. gaditana","No","M1","2_4",30
"2019-02-04T00:00","M. gaditana","No","M1","3_1",30
"2019-02-04T00:00","M. gaditana","No","M1","3_2",870
"2019-02-04T00:00","M. gaditana","No","M1","3_3",2880
"2019-02-04T00:00","M. gaditana","No","M1","3_4",2880
"2019-02-04T00:00","M. gaditana","No","M1","3_5",2880
"2019-02-04T00:00","M. gaditana","No","M1","3_6",2880
"2019-02-04T00:00","M. gaditana","No","M1","4_1",2880
"2019-02-04T00:00","M. gaditana","No","M1","4_2",2880
"2019-02-04T00:00","M. gaditana","No","M1","4_3",2880
"2019-02-04T00:00","M. gaditana","No","M1","4_4",2880
"2019-02-04T00:00","M. gaditana","No","M1","6_1",2880
"2019-02-04T00:00","M. gaditana","No","M1","6_2",2880
"2019-02-04T00:00","M. gaditana","No","M1","7",2880
"2019-02-04T00:00","M. gaditana","No","M1","10",60
"2019-02-07T00:00","N. oculata","No","N1","1",45
"2019-02-07T00:00","N. oculata","No","N1","2_1",30
"2019-02-07T00:00","N. oculata","No","N1","2_2",30
"2019-02-07T00:00","N. oculata","No","N1","2_3",30
"2019-02-07T00:00","N. oculata","No","N1","4",2880
"2019-02-07T00:00","N. oculata","No","N1","6",150
"2019-02-07T00:00","N. oculata","No","N1","8",600
"2019-02-07T00:00","N. oculata","No","N1","11_1",240
"2019-02-07T00:00","N. oculata","No","N1","11_2",240
"2019-02-07T00:00","N. oculata","No","N1","12_1",120
"2019-02-07T00:00","N. oculata","No","N1","12_2",120
"2019-02-07T00:00","N. oculata","No","N1","12_3",120
"2019-02-07T00:00","N. oculata","No","N1","12_4",285
"2019-01-11T00:00","C. velia","No","C1","1",480
"2019-01-11T00:00","C. velia","No","C1","2",240
"2019-01-11T00:00","C. velia","No","C1","3",615
"2019-01-11T00:00","C. velia","No","C1","4_1",2880
"2019-01-11T00:00","C. velia","No","C1","4_2",2880
"2019-01-11T00:00","C. velia","No","C1","6",2880
"2019-01-11T00:00","C. velia","No","C1","7_1",375
"2019-01-11T00:00","C. velia","No","C1","7_2",690
"2019-01-11T00:00","C. velia","No","C1","7_3",2880
"2019-01-11T00:00","C. velia","No","C1","8_1",315
"2019-01-11T00:00","C. velia","No","C1","8_2",2880
"2019-01-11T00:00","C. velia","No","C1","9",1965
"2018-07-05T00:00","Beads","No","B1","1",2190
"2018-07-05T00:00","Beads","No","B1","2_1",90
"2018-07-05T00:00","Beads","No","B1","2_2",90
"2018-07-05T00:00","Beads","No","B1","3_1",915
"2018-07-05T00:00","Beads","No","B1","3_2",2100
"2018-07-05T00:00","Beads","No","B1","3_3",2880
"2018-07-05T00:00","Beads","No","B1","3_4",2880
"2018-07-05T00:00","Beads","No","B1","4",45
"2018-07-05T00:00","Beads","No","B1","5_1",1260
"2018-07-05T00:00","Beads","No","B1","5_2",2880
"2018-07-05T00:00","Beads","No","B1","6_1",1800
"2018-07-05T00:00","Beads","No","B1","6_2",2880
"2018-07-05T00:00","Beads","No","B1","6_3",2880
"2018-07-05T00:00","Beads","No","B1","6_4",2880
"2018-07-05T00:00","Beads","No","B1","6_5",2880
"2018-07-05T00:00","Beads","No","B1","7_1",1095
"2018-07-05T00:00","Beads","No","B1","7_2",2880
"2018-07-05T00:00","Beads","No","B1","7_3",2880
"2018-07-05T00:00","Beads","No","B1","8_1",2880
"2018-07-05T00:00","Beads","No","B1","8_2",2880
"2018-07-05T00:00","Beads","No","B1","9_1",645
"2018-07-05T00:00","Beads","No","B1","10_1",555
"2018-07-05T00:00","Beads","No","B1","10_2",555
"2018-07-05T00:00","Beads","No","B1","10_3",2880
"2018-07-05T00:00","Beads","No","B1","10_4",2880
"2018-07-05T00:00","Beads","No","B1","10_5",2880
"2018-07-05T00:00","Beads","No","B1","11_1",930
"2018-07-05T00:00","Beads","No","B1","11_2",2880
