"Repeat(Date)","Algae","Treatment","Well_ID","Larvae","Halo"
"I","SSB01","DMSO","S_D_I",1,0
"I","SSB01","DMSO","S_D_I",2,0
"I","SSB01","DMSO","S_D_I",3,1
"I","SSB01","DMSO","S_D_I",4,1
"I","SSB01","DMSO","S_D_I",5,1
"I","SSB01","DMSO","S_D_I",6,1
"I","SSB01","DMSO","S_D_I",7,1
"I","SSB01","DMSO","S_D_I",8,1
"I","SSB01","DMSO","S_D_I",9,1
"I","SSB01","DMSO","S_D_I",10,1
"I","SSB01","DMSO","S_D_I",11,1
"I","SSB01","DMSO","S_D_I",12,1
"I","SSB01","DMSO","S_D_I",13,1
"I","SSB01","DMSO","S_D_I",14,1
"I","SSB01","DMSO","S_D_I",15,0
"I","SSB01","DMSO","S_D_I",16,0
"I","SSB01","DMSO","S_D_I",17,1
"I","SSB01","DMSO","S_D_I",18,1
"I","SSB01","DMSO","S_D_I",19,0
"I","SSB01","DMSO","S_D_I",20,1
"I","SSB01","DMSO","S_D_I",21,0
"I","SSB01","DMSO","S_D_I",22,0
"I","SSB01","DMSO","S_D_I",23,0
"I","SSB01","DMSO","S_D_I",24,0
"I","SSB01","DMSO","S_D_I",25,1
"I","SSB01","DMSO","S_D_I",26,1
"I","SSB01","DMSO","S_D_I",27,1
"I","SSB01","DMSO","S_D_I",28,1
"I","SSB01","DMSO","S_D_I",29,0
"I","SSB01","DMSO","S_D_I",30,1
"I","SSB01","DMSO","S_D_I",31,1
"I","SSB01","DMSO","S_D_I",32,1
"I","SSB01","DMSO","S_D_I",33,1
"I","SSB01","DMSO","S_D_I",34,1
"I","SSB01","DMSO","S_D_I",35,1
"I","SSB01","DMSO","S_D_I",36,1
"I","SSB01","DMSO","S_D_I",37,1
"I","SSB01","DMSO","S_D_I",38,1
"I","SSB01","DMSO","S_D_I",39,1
"I","SSB01","DMSO","S_D_I",40,1
"I","SSB01","DMSO","S_D_I",41,0
"I","SSB01","DMSO","S_D_I",42,1
"I","SSB01","DMSO","S_D_I",43,1
"I","SSB01","DMSO","S_D_I",44,1
"I","SSB01","DMSO","S_D_I",45,1
"I","SSB01","DMSO","S_D_I",46,0
"I","SSB01","DMSO","S_D_I",47,1
"I","SSB01","DMSO","S_D_I",48,1
"I","SSB01","DMSO","S_D_I",49,1
"I","SSB01","DMSO","S_D_I",50,1
"I","SSB01","DMSO","S_D_I",51,1
"I","SSB01","DMSO","S_D_I",52,1
"I","SSB01","DMSO","S_D_I",53,1
"I","SSB01","DMSO","S_D_I",54,0
"I","SSB01","DMSO","S_D_I",55,1
"I","SSB01","DMSO","S_D_I",56,1
"I","SSB01","DMSO","S_D_I",57,1
"I","SSB01","DMSO","S_D_I",58,1
"I","SSB01","DMSO","S_D_I",59,1
"I","SSB01","DMSO","S_D_I",60,0
"I","SSB01","DMSO","S_D_I",61,1
"I","SSB01","DMSO","S_D_I",62,1
"I","SSB01","DMSO","S_D_I",63,1
"I","SSB01","DMSO","S_D_I",64,0
"I","SSB01","DMSO","S_D_I",65,1
"I","SSB01","DMSO","S_D_I",66,1
"I","SSB01","DMSO","S_D_I",67,0
"II","SSB01","DMSO","S_D_II",1,1
"II","SSB01","DMSO","S_D_II",2,1
"II","SSB01","DMSO","S_D_II",3,1
"II","SSB01","DMSO","S_D_II",4,1
"II","SSB01","DMSO","S_D_II",5,1
"II","SSB01","DMSO","S_D_II",6,0
"II","SSB01","DMSO","S_D_II",7,1
"II","SSB01","DMSO","S_D_II",8,0
"II","SSB01","DMSO","S_D_II",9,1
"II","SSB01","DMSO","S_D_II",10,1
"II","SSB01","DMSO","S_D_II",11,1
"II","SSB01","DMSO","S_D_II",12,1
"II","SSB01","DMSO","S_D_II",13,1
"II","SSB01","DMSO","S_D_II",14,1
"II","SSB01","DMSO","S_D_II",15,1
"II","SSB01","DMSO","S_D_II",16,1
"II","SSB01","DMSO","S_D_II",17,1
"II","SSB01","DMSO","S_D_II",18,1
"II","SSB01","DMSO","S_D_II",19,0
"II","SSB01","DMSO","S_D_II",20,1
"II","SSB01","DMSO","S_D_II",21,1
"II","SSB01","DMSO","S_D_II",22,0
"II","SSB01","DMSO","S_D_II",23,1
"II","SSB01","DMSO","S_D_II",24,1
"II","SSB01","DMSO","S_D_II",25,0
"II","SSB01","DMSO","S_D_II",26,1
"II","SSB01","DMSO","S_D_II",27,1
"II","SSB01","DMSO","S_D_II",28,1
"II","SSB01","DMSO","S_D_II",29,1
"II","SSB01","DMSO","S_D_II",30,1
"II","SSB01","DMSO","S_D_II",31,1
"II","SSB01","DMSO","S_D_II",32,1
"II","SSB01","DMSO","S_D_II",33,0
"II","SSB01","DMSO","S_D_II",34,1
"II","SSB01","DMSO","S_D_II",35,1
"II","SSB01","DMSO","S_D_II",36,0
"II","SSB01","DMSO","S_D_II",37,1
"II","SSB01","DMSO","S_D_II",38,1
"II","SSB01","DMSO","S_D_II",39,1
"II","SSB01","DMSO","S_D_II",40,1
"II","SSB01","DMSO","S_D_II",41,1
"II","SSB01","DMSO","S_D_II",42,1
"II","SSB01","DMSO","S_D_II",43,0
"III","SSB01","DMSO","S_D_III",1,1
"III","SSB01","DMSO","S_D_III",2,1
"III","SSB01","DMSO","S_D_III",3,1
"III","SSB01","DMSO","S_D_III",4,1
"III","SSB01","DMSO","S_D_III",5,1
"III","SSB01","DMSO","S_D_III",6,1
"III","SSB01","DMSO","S_D_III",7,1
"III","SSB01","DMSO","S_D_III",8,1
"III","SSB01","DMSO","S_D_III",9,1
"III","SSB01","DMSO","S_D_III",10,1
"III","SSB01","DMSO","S_D_III",11,0
"III","SSB01","DMSO","S_D_III",12,1
"III","SSB01","DMSO","S_D_III",13,1
"III","SSB01","DMSO","S_D_III",14,1
"III","SSB01","DMSO","S_D_III",15,1
"III","SSB01","DMSO","S_D_III",16,1
"III","SSB01","DMSO","S_D_III",17,1
"III","SSB01","DMSO","S_D_III",18,1
"III","SSB01","DMSO","S_D_III",19,1
"III","SSB01","DMSO","S_D_III",20,1
"III","SSB01","DMSO","S_D_III",21,0
"III","SSB01","DMSO","S_D_III",22,1
"III","SSB01","DMSO","S_D_III",23,1
"III","SSB01","DMSO","S_D_III",24,1
"I","SSB01","XMD-17-109","S_X_I",1,0
"I","SSB01","XMD-17-109","S_X_I",2,0
"I","SSB01","XMD-17-109","S_X_I",3,0
"I","SSB01","XMD-17-109","S_X_I",4,0
"I","SSB01","XMD-17-109","S_X_I",5,0
"I","SSB01","XMD-17-109","S_X_I",6,0
"I","SSB01","XMD-17-109","S_X_I",7,0
"I","SSB01","XMD-17-109","S_X_I",8,0
"II","SSB01","XMD-17-109","S_X_II",1,0
"II","SSB01","XMD-17-109","S_X_II",2,0
"II","SSB01","XMD-17-109","S_X_II",3,0
"II","SSB01","XMD-17-109","S_X_II",4,0
"III","SSB01","XMD-17-109","S_X_III",1,0
"III","SSB01","XMD-17-109","S_X_III",2,1
"III","SSB01","XMD-17-109","S_X_III",3,0
"III","SSB01","XMD-17-109","S_X_III",4,1
"III","SSB01","XMD-17-109","S_X_III",5,0
"III","SSB01","XMD-17-109","S_X_III",6,0
"III","SSB01","XMD-17-109","S_X_III",7,0
